요양기관명,시도코드명,시군구코드명,주소,위도,경도
김도현소아청소년과의원,서울특별시,용산구,"서울특별시 용산구 백범로 341, A동 3층 303호 (원효로1가, 리첸시아용산)",37.5380381,126.9675825
김동균소아청소년과의원,서울특별시,서초구,"서울특별시 서초구 고무래로 32, 203호 (반포동, 반포메딕스빌딩)",37.5024461,127.0120988
김동남소아청소년과의원,경기도,성남중원구,"경기도 성남시 중원구 산성대로 530, (은행동)",37.4602224,127.1742816
김동억소아청소년과의원,대구광역시,대구북구,"대구광역시 북구 구암로 17, 104호 (관음동, 한양수정아파트 상가 )",35.9466809,128.541213
김동준소아청소년과의원,충청북도,제천시,"충청북도 제천시 청전대로 171, (청전동)",37.1520103,128.2163044
김란미즈소아청소년과의원,경기도,양평군,"경기도 양평군 양평읍 시민로 12, (양평읍)",37.48928660000001,127.4934275
김명숙소아청소년과의원,대전광역시,대전동구,"대전광역시 동구 동대전로 80, (대동)",36.329622,127.4433699
김미경소아과의원,서울특별시,송파구,"서울특별시 송파구 마천로57길 4, (마천동, 2층)",37.4943334,127.1520634
김미란서울소아청소년과의원,서울특별시,강서구,"서울특별시 강서구 등촌로 31, 2층 (화곡동)",37.5328279,126.8633739
김미봉소아청소년과의원,경상남도,진주시,"경상남도 진주시 범골로60번길 16, 아름파크빌딩 3층 (충무공동)",35.1697764,128.1324076
김미정소아청소년과의원,대구광역시,대구달서구,"대구광역시 달서구 용산서로 14, 202호 (용산동, 대광 골든프라자 2층)",35.8577591,128.5290414
김민정소아과의원,충청남도,계룡시,"충청남도 계룡시 엄사면 번영로 36, (엄사면)",36.2888649,127.241309
김민희의원,경기도,수원영통구,"경기도 수원시 영통구 효원로 363, 310호 (매탄동, 두산위브하늘채B상가)",37.2613995,127.0405068
김법성소아청소년과의원,경기도,광주시,"경기도 광주시 오포읍 신현로 51, 3층 301호",37.3608868,127.1524727
김병연소아청소년과의원,경기도,용인수지구,"경기도 용인시 수지구 광교중앙로 320, 3층 302호 (상현동)",37.2983694,127.069955
김봉관소아과의원,부산광역시,부산동래구,"부산광역시 동래구 사직북로19번길 5, (사직동)",35.19734940000001,129.0602361
김부진소아청소년과의원,경상남도,김해시,"경상남도 김해시 활천로 190, 1층 (어방동)",35.24192,128.9007351
김사라소아청소년과의원,경기도,시흥시,"경기도 시흥시 장현장곡로 2, 메디프라자 2층 202호 (장곡동)",37.3788108,126.789169
김사영소아청소년과의원,부산광역시,부산기장군,"부산광역시 기장군 기장읍 읍내로 108, 2층",35.2448633,129.2160508
김상관소아청소년과의원,경상북도,칠곡군,"경상북도 칠곡군 석적읍 남율로9길 50, 202호",36.0682748,128.4044471
김상정소아청소년과의원,인천광역시,인천계양구,"인천광역시 계양구 효서로 385, 상가동 2층 21호 (작전동, 현대아파트)",37.529038,126.7384663
김상현소아청소년과의원,경기도,오산시,"경기도 오산시 운암로 113, 203호 (오산동, 중앙프라자)",37.1562312,127.0780312
김석연내과의원,인천광역시,인천계양구,"인천광역시 계양구 경명대로 1048, 3층 전체호 (계산동)",37.5431464,126.7232917
김선영소아과의원,서울특별시,성북구,"서울특별시 성북구 동소문로 190, 202호 (돈암동, 중앙빌딩)",37.5988755,127.0220965
김성미소아청소년과의원,부산광역시,부산남구,"부산광역시 남구 분포로 115, B동 2층 (용호동, 힐탑탑플레이스)",35.1320517,129.1126263
김성옥소아청소년과의원,서울특별시,강서구,"서울특별시 강서구 수명로 80, 베스트프라자빌딩 2층 201,202-1,202-2호 (내발산동)",37.5532004,126.8263736
김성화소아청소년과의원,인천광역시,인천부평구,"인천광역시 부평구 마장로324번길 8-19, (산곡동)",37.5059038,126.7040359
김성훈소아청소년과의원,경상남도,김해시,"경상남도 김해시 삼안로 228, 201층 (삼방동, 동원아파트 상가동)",35.248566,128.9119833
김세진소아청소년과의원,서울특별시,성북구,"서울특별시 성북구 화랑로 76, 지상1층 109-1,110호 (하월곡동, 코업스타클래스)",37.6018094,127.0403791
김세희소아과의원,제주특별자치도,제주시,"제주특별자치도 제주시 동광로 110, 2층 (일도이동)",33.5061364,126.539252
김소아과의원,서울특별시,광진구,"서울특별시 광진구 군자로 86, (군자동)",37.55074159999999,127.0712103
김소아청소년과의원,부산광역시,부산연제구,"부산광역시 연제구 해맞이로 109, (거제동)",35.1838627,129.0697275
김소아청소년과의원,부산광역시,부산남구,"부산광역시 남구 우암로 67-2, (감만동)",35.11648410000001,129.0809312
김소아청소년과의원,경기도,성남분당구,"경기도 성남시 분당구 동판교로 92, 2층 202호 (백현동, 백현마을 가상가동)",37.3898932,127.1177147
김소아청소년과의원,인천광역시,인천부평구,"인천광역시 부평구 안남로222번길 27, 3층 301호 (산곡동, 경남종합상가)",37.5031564,126.7102504
김소아청소년과의원,강원도,속초시,"강원특별자치도 속초시 청대로 347, (교동)",38.2019034,128.5739049
김소아청소년과의원,전라북도,전주덕진구,"전북특별자치도 전주시 덕진구 견훤로 227, (인후동1가)",35.8353362,127.1488986
김소아청소년과의원,대구광역시,대구중구,"대구광역시 중구 남산로 48, 2층 (남산동)",35.8608295,128.5828457
김소아청소년과의원,경상남도,거창군,"경상남도 거창군 거창읍 거창대로 100, 301호 (선보프라자)",35.690458,127.9152394
김소아청소년과의원,경상남도,사천시,"경상남도 사천시 사천읍 진삼로 1448, (사천읍)",35.0804736,128.086594
김소아청소년과의원,경기도,남양주시,"경기도 남양주시 진접읍 부평로48번길 140, 123동 119, 120호 (더샵 남양주퍼스트시티)",37.7368532,127.1988312
김순화소아과의원,서울특별시,중구,"서울특별시 중구 동호로 177-1, (신당동)",37.5540037,127.0109049
김승국소아과의원,서울특별시,금천구,"서울특별시 금천구 금하로 707, 2층 (시흥동)",37.4512652,126.908731
김승기소아과의원,경상남도,진주시,"경상남도 진주시 도동천로 84, 3층 (상대동)",35.1792164,128.109712
김승연밝은소아청소년과의원,경기도,의정부시,"경기도 의정부시 세석로 30, 305호 (산곡동)",37.7293844,127.110102
김승주소아청소년과의원,경기도,부천오정구,"경기도 부천시 오정구 소사로 791, (원종동)",37.5267133,126.8045287
김신향소아과의원,대구광역시,대구달서구,"대구광역시 달서구 당산로 43, 4,5층 (본리동)",35.8414306,128.5445863
김앤리소아청소년과의원,경기도,부천원미구,"경기도 부천시 원미구 소향로 51, (상동, 메디워즈)",37.5034852,126.7534919
김앤신연합소아청소년과의원,대구광역시,대구달서구,"대구광역시 달서구 상원로 128, 3층 (상인동)",35.8197986,128.5309618
김앤오소아청소년과의원,경기도,김포시,"경기도 김포시 김포한강1로 227, 307호 (운양동, 광장프라자)",37.6541411,126.682653
김앤정소아청소년과의원,경기도,파주시,"경기도 파주시 청석로 268, 402,403호 (동패동, 미소시티)",37.7258018,126.7177261
김양수소아청소년과의원,경상남도,진주시,"경상남도 진주시 대신로 477, 2층 (초전동)",35.2032377,128.1156839
김연기소아청소년과의원,서울특별시,은평구,"서울특별시 은평구 수색로 274, (수색동)",37.5830926,126.8942725
김연심소아청소년과의원,경기도,파주시,"경기도 파주시 심학산로 415, 3층 (목동동)",37.7185031,126.7378084
김연합소아청소년과의원,경상북도,경산시,"경상북도 경산시 성암로 43, (옥산동)",35.8232271,128.7223847
김연합의원,대구광역시,대구북구,"대구광역시 북구 검단로 114, 2층 (검단동)",35.9066111,128.6203066
김영국소아청소년과의원,경기도,수원영통구,"경기도 수원시 영통구 영통로 509, (영통동)",37.2641657,127.0774865
김영민소아청소년과의원,대구광역시,대구동구,"대구광역시 동구 반야월로28길 66, (신기동)",35.8708398,128.7074567
김영소아청소년과의원,대전광역시,대전동구,"대전광역시 동구 옥천로 153, 3, 4층 (판암동)",36.3137994,127.4641381
김영식소아청소년과의원,인천광역시,인천부평구,"인천광역시 부평구 부영로 196, (부평동)",37.5021205,126.7176726
김영준소아청소년과의원,서울특별시,영등포구,"서울특별시 영등포구 가마산로 582, (신길동)",37.5039406,126.9208909
김영철소아청소년과의원,대구광역시,대구달성군,"대구광역시 달성군 유가읍 테크노상업로 110, 306호",35.6932112,128.4600688
김영환소아과의원,경기도,군포시,"경기도 군포시 광정로 25-16, 207,208호 (금정동, 퇴계종합상가)",37.3558408,126.9317669
김예진성장소아청소년과의원,울산광역시,울산남구,"울산광역시 남구 삼산로 287, 4층 (삼산동)",35.5397865,129.3382654
김옥영소아청소년과의원,부산광역시,부산금정구,"부산광역시 금정구 수림로 15, 하나클리닉센터 4층 (부곡동)",35.2392886,129.09068
김용석소아청소년과의원,대전광역시,대전서구,"대전광역시 서구 둔산로 201, 207,208호 (둔산동)",36.35395330000001,127.3974348
김용준소아청소년과의원,부산광역시,부산사상구,"부산광역시 사상구 가야대로 288, 205호 (주례동, 창조상가)",35.1499963,129.0041092
김용호소아청소년과의원,서울특별시,금천구,"서울특별시 금천구 독산로 139, 2층 (시흥동)",37.4597002,126.9047266
김원배소아청소년과의원,인천광역시,인천미추홀구,"인천광역시 미추홀구 낙섬중로 37, 4층 (용현동)",37.4516821,126.6371855
김원태소아청소년과의원,경상북도,포항남구,"경상북도 포항시 남구 오천읍 정몽주로 647, 1층",35.9756173,129.4136405
김윤정 소아청소년과 의원,대구광역시,대구수성구,"대구광역시 수성구 수성로69길 65, 202호 (수성동1가, 수성롯데캐슬더퍼스트2단지)",35.8555013,128.6101108
